FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 11/17/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
5.466919	5.487061	-0.004120
5.533447	5.544434	-0.001282
5.599976	5.601196	-0.002228
5.666504	5.665283	-0.001892
5.733032	5.741577	-0.002869
5.800171	5.805664	-0.003174
5.866699	5.881958	-0.000946
5.933228	5.945435	-0.003815
5.999756	6.002808	-0.000305
6.066895	6.072998	-0.001587
6.133423	6.143188	-0.002869
6.199951	6.206665	-0.007324
6.266479	6.276855	-0.003815
6.333618	6.353149	-0.004120
6.400146	6.404419	-0.005096
6.466675	6.480713	-0.003510
6.533203	6.550903	-0.003510
6.599731	6.621094	-0.006683
6.666870	6.678467	-0.002228
6.733398	6.748047	-0.004120
6.799927	6.818237	-0.000641
6.866455	6.869507	-0.002228
6.933594	6.939697	-0.000305
7.000122	6.996460	-0.005096
7.066650	7.066650	-0.000946
7.133179	7.130737	-0.001892
7.199707	7.219849	-0.005096
7.266846	7.277222	-0.005096
7.333374	7.340698	-0.005402
7.399902	7.398071	-0.007965
7.466431	7.474365	-0.004761
7.533569	7.544556	-0.004456
7.600098	7.620850	-0.004456
7.666626	7.678223	-0.002869
7.733154	7.755127	-0.003174
7.800293	7.792969	-0.004761
7.866821	7.875977	-0.003510
7.933350	7.939453	-0.006378
7.999878	8.009644	-0.000641
8.066406	8.060913	-0.003174
8.133545	8.150024	-0.000946
8.200073	8.194580	-0.007629
8.266602	8.270874	-0.004761
8.333130	8.315430	-0.004761
8.400269	8.404541	-0.005737
8.466797	8.461914	-0.006378
8.533325	8.544922	-0.006042
8.599854	8.608398	-0.008270
8.666382	8.691406	-0.003815
8.733521	8.735962	-0.006042
8.800049	8.806152	-0.003174
8.866577	8.876343	-0.004456
8.933105	8.939819	-0.001587
9.000244	8.997192	-0.003510
9.066772	9.073486	-0.007629
9.133301	9.124756	-0.001892
9.199829	9.213867	-0.003510
9.266968	9.277344	-0.005737
9.333496	9.334717	-0.005096
9.400024	9.404907	-0.006378
9.466553	9.475098	-0.004120
9.533081	9.532471	-0.006378
9.600220	9.615479	-0.008270
9.666748	9.666138	-0.006042
9.733276	9.742432	-0.006042
9.799805	9.819336	-0.006378
9.866943	9.869995	-0.006378
9.933472	9.933472	-0.005096
10.000000	9.997559	-0.003815
10.066528	10.067749	-0.004120
10.133057	10.131226	-0.002869
10.200195	10.201416	-0.004120
10.266724	10.277710	-0.004761
10.333252	10.335083	-0.003174
10.399780	10.411377	-0.003510
10.466919	10.462646	-0.007629
10.533447	10.538940	-0.006683
10.599976	10.609131	-0.006989
10.666504	10.666504	-0.006042
10.733032	10.729980	-0.007965
10.800171	10.787354	-0.004456
10.866699	10.863647	-0.004456
10.933228	10.940552	-0.007629
10.999756	10.997925	-0.004456
11.066895	11.067505	-0.005737
11.133423	11.118774	-0.005096
11.199951	11.201782	-0.003815
11.266479	11.265259	-0.006042
11.333618	11.341553	-0.004120
11.400146	11.398926	-0.005402
11.466675	11.475220	-0.006042
11.533203	11.532593	-0.004761
11.599731	11.589966	-0.007629
11.666870	11.666870	-0.008270
11.733398	11.730347	-0.007965
11.799927	11.793823	-0.006378
11.866455	11.870728	-0.007965
11.933594	11.934204	-0.004456
12.000122	11.997681	-0.007629
12.066650	12.080688	-0.004761
12.133179	12.131958	-0.006989
12.199707	12.195435	-0.006989
12.266846	12.278442	-0.007629
12.333374	12.329102	-0.003510
12.399902	12.399292	-0.004120
12.466431	12.469482	-0.003815
12.533569	12.532959	-0.007629
12.600098	12.597046	-0.006378
12.666626	12.666626	-0.009216
12.733154	12.736816	-0.006042
12.800293	12.813110	-0.008911
12.866821	12.864380	-0.008270
12.933350	12.940674	-0.009216
12.999878	13.004761	-0.007965
13.066406	13.074341	-0.007324
13.133545	13.144531	-0.005737
13.200073	13.208618	-0.007629
13.266602	13.272095	-0.003815
13.333130	13.335571	-0.006683
13.400269	13.412476	-0.007965
13.466797	13.469849	-0.005737
13.533325	13.527222	-0.004456
13.599854	13.609619	-0.006378
13.666382	13.692627	-0.006042
13.733521	13.743286	-0.007629
13.800049	13.807373	-0.006989
13.866577	13.877563	-0.010498
13.933105	13.941040	-0.007324
14.000244	13.998413	-0.008270
14.066772	14.068604	-0.009552
14.133301	14.138794	-0.009216
14.199829	14.208374	-0.007965
14.266968	14.252930	-0.008270
14.333496	14.323120	-0.008911
14.400024	14.406128	-0.007324
14.466553	14.456787	-0.005096
14.533081	14.533691	-0.007965
14.600220	14.597168	-0.006378
14.666748	14.680176	-0.006042
14.733276	14.730835	-0.008270
14.799805	14.782104	-0.004761
14.866943	14.865112	-0.006042
14.933472	14.928589	-0.008911
15.000000	14.992065	-0.011139
15.066528	15.075073	-0.007629
15.133057	15.125732	-0.006683
15.200195	15.189819	-0.008911
15.266724	15.260010	-0.007965
15.333252	15.342407	-0.006683
15.399780	15.412598	-0.010193
15.466919	15.469971	-0.007324
15.533447	15.540161	-0.010193
15.599976	15.590820	-0.007629
15.666504	15.661011	-0.006683
15.733032	15.725098	-0.004761
15.800171	15.814209	-0.009857
15.866699	15.871582	-0.010193
15.933228	15.928955	-0.009857
15.999756	16.005249	-0.007629
16.066895	16.081543	-0.009216
16.133423	16.126099	-0.008606
16.199951	16.177368	-0.008911
16.266479	16.266479	-0.008911
16.333618	16.329956	-0.008911
16.400146	16.406860	-0.009552
16.466675	16.470337	-0.009216
16.533203	16.520996	-0.008911
16.599731	16.597900	-0.008911
16.666870	16.674194	-0.008270
16.733398	16.744385	-0.008911
16.799927	16.795044	-0.006683
16.866455	16.859131	-0.007629
16.933594	16.928711	-0.006683
17.000122	17.005615	-0.011475
17.066650	17.069092	-0.010498
17.133179	17.139282	-0.010834
17.199707	17.171021	-0.010834
17.266846	17.272949	-0.012726
17.333374	17.324219	-0.009216
17.399902	17.400513	-0.012085
17.466431	17.463989	-0.007629
17.533569	17.546997	-0.010834
17.600098	17.597656	-0.008606
17.666626	17.667847	-0.009216
17.733154	17.719116	-0.006683
17.800293	17.801514	-0.008270
17.866821	17.871704	-0.011475
17.933350	17.948608	-0.007965
17.999878	18.005371	-0.006989
18.066406	18.075562	-0.009216
18.133545	18.120117	-0.008911
18.200073	18.197021	-0.011475
18.266602	18.266602	-0.012726
18.333130	18.336792	-0.010498
18.400269	18.388062	-0.012726
18.466797	18.483276	-0.011139
18.533325	18.521729	-0.009857
18.599854	18.591919	-0.010834
18.666382	18.674927	-0.011475
18.733521	18.744507	-0.011475
18.800049	18.808594	-0.007324
18.866577	18.853149	-0.010498
18.933105	18.929443	-0.006683
19.000244	18.992920	-0.007629
19.066772	19.069824	-0.008270
19.133301	19.127197	-0.006683
19.199829	19.190674	-0.006042
19.266968	19.260864	-0.012421
19.333496	19.343872	-0.010193
19.400024	19.400635	-0.015289
19.466553	19.470825	-0.009552
19.533081	19.547729	-0.011475
19.600220	19.592285	-0.009552
19.666748	19.655762	-0.010193
19.733276	19.738770	-0.008606
