FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/6/2016 
 
 Experiment Name: 	 HM_VolunteerTool 
 Cantilever ID #: 	 ANHS-9B 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.543213	-2.356772
0.000000	0.549316	-2.458609
0.000000	0.530396	-2.639532
0.000000	0.523682	-2.463159
0.000000	0.536499	-2.302603
0.000000	0.549316	-2.311487
0.000000	0.510864	-2.372589
0.000000	0.543213	-2.356772
0.000000	0.517578	-2.492410
0.000000	0.530396	-2.368039
0.000000	0.485840	-2.377139
0.000000	0.517578	-2.501511
0.000000	0.530396	-2.537695
0.000000	0.510864	-2.458609
0.000000	0.504761	-2.540079
0.000000	0.517578	-2.540079
0.000000	0.485840	-2.653183
0.000000	0.491943	-2.508444
0.000000	0.504761	-2.533145
0.000000	0.504761	-2.408774
0.000000	0.491943	-2.379523
0.000000	0.491943	-2.442792
0.000000	0.491943	-2.442792
0.000000	0.523682	-2.451892
0.000000	0.510864	-2.395340
0.000000	0.491943	-2.553513
0.000000	0.491943	-2.465326
0.000000	0.473022	-2.463159
0.000000	0.473022	-2.365872
0.000000	0.473022	-2.392957
0.000000	0.485840	-2.347672
0.000000	0.504761	-2.664450
0.000000	0.460205	-2.476593
0.000000	0.479126	-2.569330
0.000000	0.479126	-2.601181
0.000000	0.473022	-2.653183
0.000000	0.460205	-2.436075
0.000000	0.447388	-2.612448
0.000000	0.447388	-2.569330
0.000000	0.473022	-2.560446
0.000000	0.454102	-2.553513
0.000000	0.479126	-2.415707
0.000000	0.447388	-2.347672
0.000000	0.434570	-2.456226
0.000000	0.454102	-2.411157
0.000000	0.441284	-2.379523
0.000000	0.460205	-2.553513
0.000000	0.447388	-2.395340
0.000000	0.447388	-2.510611
0.000000	0.428467	-2.521878
0.000000	0.454102	-2.467709
0.000000	0.454102	-2.501511
0.000000	0.460205	-2.537695
0.000000	0.441284	-2.623715
0.000000	0.415649	-2.761737
0.000000	0.428467	-2.469876
0.000000	0.408936	-2.458609
0.000000	0.421753	-2.483527
0.000000	0.434570	-2.580814
0.000000	0.434570	-2.515161
0.000000	0.408936	-2.496960
0.000000	0.421753	-2.350055
0.000000	0.402832	-2.436075
0.000000	0.402832	-2.610065
0.000000	0.441284	-2.619165
0.000000	0.402832	-2.503894
0.000000	0.421753	-2.417874
0.000000	0.415649	-2.483527
0.000000	0.408936	-2.488077
0.000000	0.402832	-2.634982
0.000000	0.402832	-2.433691
0.000000	0.383911	-2.334238
0.000000	0.402832	-2.515161
0.000000	0.390015	-2.632816
0.000000	0.371094	-2.569330
0.000000	0.402832	-2.408774
0.000000	0.408936	-2.406607
0.000000	0.402832	-2.537695
0.000000	0.377197	-2.743536
0.000000	0.402832	-2.598798
0.000000	0.396729	-2.388406
0.000000	0.415649	-2.338788
0.000000	0.402832	-2.408774
0.000000	0.402832	-2.449509
0.000000	0.390015	-2.623715
0.000000	0.351562	-2.451892
0.000000	0.383911	-2.374973
0.000000	0.396729	-2.521878
0.000000	0.371094	-2.669000
0.000000	0.351562	-2.533145
0.000000	0.358276	-2.438242
0.000000	0.377197	-2.392957
0.000000	0.364380	-2.644083
0.000000	0.345459	-2.576263
0.000000	0.383911	-2.512778
0.000000	0.358276	-2.345505
0.000000	0.351562	-2.388406
0.000000	0.339355	-2.451892
0.000000	0.351562	-2.571713
0.000000	0.364380	-2.589697
0.000000	0.364380	-2.420041
0.000000	0.339355	-2.524261
0.000000	0.358276	-2.605515
0.000000	0.351562	-2.718619
0.000000	0.377197	-2.474426
0.000000	0.339355	-2.420041
0.000000	0.351562	-2.372589
0.000000	0.358276	-2.512778
0.000000	0.339355	-2.463159
0.000000	0.351562	-2.345505
0.000000	0.351562	-2.374973
0.000000	0.339355	-2.318420
0.000000	0.358276	-2.311487
0.000000	0.300903	-2.501511
0.000000	0.313721	-2.442792
0.000000	0.313721	-2.313870
0.000000	0.319824	-2.438242
0.000000	0.319824	-2.573880
0.000000	0.339355	-2.528812
0.000000	0.332642	-2.560446
0.000000	0.326538	-2.454059
0.000000	0.339355	-2.383856
0.000000	0.326538	-2.741370
0.000000	0.300903	-2.732269
0.000000	0.326538	-2.530978
0.000000	0.326538	-2.361322
0.000000	0.313721	-2.406607
0.000000	0.326538	-2.424591
0.000000	0.300903	-2.467709
0.000000	0.319824	-2.506061
0.000000	0.313721	-2.481143
0.000000	0.288086	-2.524261
0.000000	0.326538	-2.571713
0.000000	0.319824	-2.528812
0.000000	0.300903	-2.528812
0.000000	0.275269	-2.420041
0.000000	0.288086	-2.431525
0.000000	0.300903	-2.555896
0.000000	0.294800	-2.449509
0.000000	0.294800	-2.612448
0.000000	0.307007	-2.576263
0.000000	0.300903	-2.431525
0.000000	0.294800	-2.438242
0.000000	0.288086	-2.576263
0.000000	0.300903	-2.528812
0.000000	0.300903	-2.474426
0.000000	0.300903	-2.535529
0.000000	0.275269	-2.377139
0.000000	0.300903	-2.293503
0.000000	0.256348	-2.350055
0.000000	0.294800	-2.422424
0.000000	0.275269	-2.413324
0.000000	0.300903	-2.650800
0.000000	0.275269	-2.451892
0.000000	0.269165	-2.374973
0.000000	0.249634	-2.551346
0.000000	0.307007	-2.537695
0.000000	0.275269	-2.481143
0.000000	0.275269	-2.616998
0.000000	0.262451	-2.492410
0.000000	0.269165	-2.630432
0.000000	0.262451	-2.587531
0.000000	0.237427	-2.560446
0.000000	0.275269	-2.521878
0.000000	0.269165	-2.524261
0.000000	0.256348	-2.524261
0.000000	0.269165	-2.442792
0.000000	0.256348	-2.548962
0.000000	0.275269	-2.433691
0.000000	0.256348	-2.524261
0.000000	0.262451	-2.580814
0.000000	0.300903	-2.578430
0.000000	0.269165	-2.492410
0.000000	0.249634	-2.463159
0.000000	0.269165	-2.438242
0.000000	0.243530	-2.562613
0.000000	0.217896	-2.496960
0.000000	0.249634	-2.397507
0.000000	0.262451	-2.379523
0.000000	0.256348	-2.506061
0.000000	0.249634	-2.402057
0.000000	0.262451	-2.395340
0.000000	0.243530	-2.535529
0.000000	0.243530	-2.404224
0.000000	0.217896	-2.585147
0.000000	0.230713	-2.641699
0.000000	0.249634	-2.567163
0.000000	0.237427	-2.329687
0.000000	0.256348	-2.431525
0.000000	0.205078	-2.458609
0.000000	0.249634	-2.594247
0.000000	0.237427	-2.582980
0.000000	0.205078	-2.381689
0.000000	0.230713	-2.395340
0.000000	0.249634	-2.463159
0.000000	0.224609	-2.492410
0.000000	0.237427	-2.449509
0.000000	0.224609	-2.392957
0.000000	0.230713	-2.454059
0.000000	0.230713	-2.433691
0.000000	0.211792	-2.655350
0.000000	0.256348	-2.553513
0.000000	0.198975	-2.397507
0.000000	0.211792	-2.503894
0.000000	0.230713	-2.544629
0.000000	0.237427	-2.797922
0.000000	0.224609	-2.619165
0.000000	0.217896	-2.370422
0.000000	0.217896	-2.485693
0.000000	0.230713	-2.503894
0.000000	0.205078	-2.610065
0.000000	0.205078	-2.521878
0.000000	0.198975	-2.424591
0.000000	0.180054	-2.417874
0.000000	0.211792	-2.488077
0.000000	0.205078	-2.625882
0.000000	0.217896	-2.506061
0.000000	0.198975	-2.399673
0.000000	0.198975	-2.451892
0.000000	0.205078	-2.359155
0.000000	0.192871	-2.680267
0.000000	0.211792	-2.533145
0.000000	0.211792	-2.286786
0.000000	0.180054	-2.386240
0.000000	0.217896	-2.585147
0.000000	0.198975	-2.576263
0.000000	0.198975	-2.614615
0.000000	0.186157	-2.573880
0.000000	0.186157	-2.469876
0.000000	0.198975	-2.510611
0.000000	0.192871	-2.709735
0.000000	0.180054	-2.605515
0.000000	0.167236	-2.562613
0.000000	0.186157	-2.451892
0.000000	0.180054	-2.442792
0.000000	0.173340	-2.607898
0.000000	0.173340	-2.474426
0.000000	0.198975	-2.313870
0.000000	0.173340	-2.361322
0.000000	0.205078	-2.377139
0.000000	0.173340	-2.467709
0.000000	0.173340	-2.503894
0.000000	0.173340	-2.499344
0.000000	0.167236	-2.429141
0.000000	0.173340	-2.664450
0.000000	0.173340	-2.680267
0.000000	0.173340	-2.684818
0.000000	0.186157	-2.548962
0.000000	0.154419	-2.499344
0.000000	0.167236	-2.327304
0.000000	0.141602	-2.693918
0.000000	0.173340	-2.655350
0.000000	0.173340	-2.444958
0.000000	0.160522	-2.372589
0.000000	0.167236	-2.463159
0.000000	0.167236	-2.433691
0.000000	0.167236	-2.426974
0.000000	0.160522	-2.548962
0.000000	0.186157	-2.338788
0.000000	0.173340	-2.442792
0.000000	0.186157	-2.693918
0.000000	0.154419	-2.576263
0.000000	0.180054	-2.465326
0.000000	0.173340	-2.456226
0.000000	0.173340	-2.483527
0.000000	0.167236	-2.607898
0.000000	0.154419	-2.700635
0.000000	0.160522	-2.535529
0.000000	0.135498	-2.429141
0.000000	0.141602	-2.476593
0.000000	0.167236	-2.490244
0.000000	0.167236	-2.610065
0.000000	0.147705	-2.506061
0.000000	0.167236	-2.436075
0.000000	0.135498	-2.569330
0.000000	0.135498	-2.669000
0.000000	0.128784	-2.515161
0.000000	0.160522	-2.370422
0.000000	0.135498	-2.316037
0.000000	0.154419	-2.467709
0.000000	0.147705	-2.616998
0.000000	0.173340	-2.639532
0.000000	0.128784	-2.496960
0.000000	0.147705	-2.392957
0.000000	0.128784	-2.444958
0.000000	0.135498	-2.592081
0.000000	0.135498	-2.567163
0.000000	0.173340	-2.625882
